horse_id,父,母,母父
2023107095,ドレフォンDrefong(米),タンタラス,キングカメハメハ
2023107403,コントレイル,アマルティア,アドマイヤムーン
2023100283,アドマイヤマーズ,カリフォルニアネクターCalifornia Nectar(米),Stormy Atlantic
2023107206,ゴールドシップ,プリティカリーナPretty Carina(米),Seeking the Gold
2023100888,アジアエクスプレス,ラブラブラブ,オルフェーヴル
2023103225,ミスチヴィアスアレックスMischevious Alex(米),マドリガルスコア,ダンスインザダーク
2023102401,ダノンレジェンド,ハルシュタット,ファスリエフFasliyev(米)
2023100805,エーシントップ,マリノエリー,タートルボウルTurtle Bowl(愛)
2023102338,ベストウォーリア,シャインカメリア,アポロキングダム
2023106065,ロードカナロア,アイリーグレイ,クロフネ
2023104480,シルバーステート,コンフォータブル,ザールXaar(英)
2023102971,ジャスタウェイ,ブリーズトウショウ,シンボリクリスエス
2023101659,マジェスティックウォリアーMajestic Warrior(米),エビスオール,Chief Seattle
2023103072,ビッグアーサー,ボイルトウショウ,ケイムホームCame Home(米)
2023100808,ダノンレジェンド,マリノディアナ,カルストンライトオ
2023103519,ジャスタウェイ,フィジオクラートPhysiocrate(仏),Doctor Dino(仏)
2023100629,インディチャンプ,ラヴィーズラヴィン,Giant's Causeway(米)
2023105682,ナダルNadal(米),バニーテール,カネヒキリ
2023105838,キタサンブラック,ブリュネット,ダイワメジャー
2023105474,アジアエクスプレス,アーベントロート,フジキセキ
2023101841,キセキ,カノン,フォーティナイナーズサンFourty Niners Son(米)
2023102868,ゴールドドリーム,サクラクローバー,サウスヴィグラス
2023105365,American Pharoah(米),マールボロロードMarlborough Road(愛),The Gurkha(愛)
2023103196,キタサンブラック,アトラクティヴレディAttractive Lady(英),Teofilo
2023102319,ドレフォンDrefong(米),ロジネイア,エピファネイア
2023105754,ロゴタイプ,ミタイナ,Denman
2023101712,シャンハイボビーShanghai Bobby(米),カレンシェリーメイ,ディープインパクト
2023105839,ジャスタウェイ,ポプラ,Frankel
2023100961,ドレフォンDrefong(米),ペイザージュ,ダイワメジャー
2023100851,ΞΙΞόΓΦΞ»Ξ’ΞΓΞκΞ≥Ξσ,ΞόΞδΞΝΞψΞσ,ΞμΓΦΞ…ΞΪΞ ΞμΞΔ
2023106094,モーニン,ダブルスカーレット,ダイワメジャー
2023105795,ロードカナロア,オースオブゴールド,オルフェーヴル
2023105630,エスポワールシチー,リアンローズ,スターリングローズ
2023103556,ルーラーシップ,マジカルキュート,ディープインパクト
2023104194,マテラスカイ,コーリンスピカ,トーセンダンス
2023105538,ハッピースプリント,カゼニモマケズ,パイロPyro(米)
2023104567,シルバーステート,ジュローズ,ワークフォースWorkforce(英)
2023102714,サトノアラジン,セブンシーミノル,エンパイアメーカーEmpire Maker(米)
